source_id,source_name,db_equipment,db_primary_muscles,your_posture,your_implement,your_pattern,your_laterality,your_angle,your_grip,notes
Chain_Handle_Extension,Chain Handle Extension,other,triceps,,,,,,,
Dumbbell_Shrug,Dumbbell Shrug,dumbbell,traps,,,,,,,
One-Legged_Cable_Kickback,One-Legged Cable Kickback,cable,glutes,,,,,,,
Internal_Rotation_with_Band,Internal Rotation with Band,bands,shoulders,,,,,,,
Seated_Triceps_Press,Seated Triceps Press,dumbbell,triceps,,,,,,,
Hammer_Curls,Hammer Curls,dumbbell,biceps,,,,,,,
Gorilla_Chin_Crunch,Gorilla Chin/Crunch,body only,abdominals,,,,,,,
Seated_Dumbbell_Inner_Biceps_Curl,Seated Dumbbell Inner Biceps Curl,dumbbell,biceps,,,,,,,
Close-Grip_Barbell_Bench_Press,Close-Grip Barbell Bench Press,barbell,triceps,,,,,,,
Alternating_Cable_Shoulder_Press,Alternating Cable Shoulder Press,cable,shoulders,,,,,,,
Incline_Dumbbell_Flyes,Incline Dumbbell Flyes,dumbbell,chest,,,,,,,
Monster_Walk,Monster Walk,bands,abductors,,,,,,,
Sandbag_Load,Sandbag Load,other,quadriceps,,,,,,,
Single-Leg_Leg_Extension,Single-Leg Leg Extension,machine,quadriceps,,,,,,,
Incline_Bench_Pull,Incline Bench Pull,barbell,middle back,,,,,,,
Floor_Press_with_Chains,Floor Press with Chains,barbell,triceps,,,,,,,
Smith_Machine_Close-Grip_Bench_Press,Smith Machine Close-Grip Bench Press,machine,triceps,,,,,,,
Incline_Inner_Biceps_Curl,Incline Inner Biceps Curl,dumbbell,biceps,,,,,,,
Bear_Crawl_Sled_Drags,Bear Crawl Sled Drags,other,quadriceps,,,,,,,
Close-Grip_Dumbbell_Press,Close-Grip Dumbbell Press,dumbbell,triceps,,,,,,,
Butterfly,Butterfly,machine,chest,,,,,,,
Machine_Preacher_Curls,Machine Preacher Curls,machine,biceps,,,,,,,
Kettlebell_Sumo_High_Pull,Kettlebell Sumo High Pull,kettlebells,traps,,,,,,,
Seated_Dumbbell_Palms-Up_Wrist_Curl,Seated Dumbbell Palms-Up Wrist Curl,dumbbell,forearms,,,,,,,
Barbell_Squat_To_A_Bench,Barbell Squat To A Bench,barbell,quadriceps,,,,,,,
Dumbbell_Scaption,Dumbbell Scaption,dumbbell,shoulders,,,,,,,
Pallof_Press,Pallof Press,cable,abdominals,,,,,,,
Band_Hip_Adductions,Band Hip Adductions,bands,adductors,,,,,,,
Dumbbell_Bench_Press_with_Neutral_Grip,Dumbbell Bench Press with Neutral Grip,dumbbell,chest,,,,,,,
Standing_Bradford_Press,Standing Bradford Press,barbell,shoulders,,,,,,,
Weighted_Sit-Ups_-_With_Bands,Weighted Sit-Ups - With Bands,other,abdominals,,,,,,,
Hanging_Bar_Good_Morning,Hanging Bar Good Morning,barbell,hamstrings,,,,,,,
Standing_Dumbbell_Reverse_Curl,Standing Dumbbell Reverse Curl,dumbbell,biceps,,,,,,,
Russian_Twist,Russian Twist,body only,abdominals,,,,,,,
Incline_Cable_Chest_Press,Incline Cable Chest Press,cable,chest,,,,,,,
Cable_Chest_Press,Cable Chest Press,cable,chest,,,,,,,
Chin-Up,Chin-Up,body only,lats,,,,,,,
One-Arm_Kettlebell_Push_Press,One-Arm Kettlebell Push Press,kettlebells,shoulders,,,,,,,
Squat_with_Bands,Squat with Bands,barbell,quadriceps,,,,,,,
Push-Ups_With_Feet_On_An_Exercise_Ball,Push-Ups With Feet On An Exercise Ball,exercise ball,chest,,,,,,,
Alternating_Kettlebell_Press,Alternating Kettlebell Press,kettlebells,shoulders,,,,,,,
Two-Arm_Kettlebell_Clean,Two-Arm Kettlebell Clean,kettlebells,shoulders,,,,,,,
Oblique_Crunches,Oblique Crunches,body only,abdominals,,,,,,,
Barbell_Shrug_Behind_The_Back,Barbell Shrug Behind The Back,barbell,traps,,,,,,,
Preacher_Hammer_Dumbbell_Curl,Preacher Hammer Dumbbell Curl,dumbbell,biceps,,,,,,,
Smith_Machine_Incline_Bench_Press,Smith Machine Incline Bench Press,machine,chest,,,,,,,
Shoulder_Press_-_With_Bands,Shoulder Press - With Bands,bands,shoulders,,,,,,,
Single_Leg_Glute_Bridge,Single Leg Glute Bridge,body only,glutes,,,,,,,
Dumbbell_Bicep_Curl,Dumbbell Bicep Curl,dumbbell,biceps,,,,,,,
Pull_Through,Pull Through,cable,glutes,,,,,,,
