source_db,source_id,source_name,omen_key,omen_c,omen_x,posture,implement,pattern,laterality,angle,mechanic,primary_muscles
free-exercise-db,3_4_Sit-Up,3/4 Sit-Up,OMEN-0.2-NEBO6LLZQU252,spinal-flexion,posture=supine|implement=bodyweight|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=spinal-flexion|angle=flat|contraction=dynamic|range=full,supine,bodyweight,spinal-flexion,bilateral,flat,isolation,rectus-abdominis
free-exercise-db,Ab_Crunch_Machine,Ab Crunch Machine,OMEN-0.2-7ZQ3G7IHRQZDO,machine spinal-flexion,posture=supine|implement=machine|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=spinal-flexion|angle=flat|contraction=dynamic|range=full,supine,machine,spinal-flexion,bilateral,flat,isolation,rectus-abdominis
free-exercise-db,Ab_Roller,Ab Roller,OMEN-0.2-P4CKYR3GPLANK,ab-wheel spinal-flexion,posture=supine|implement=ab-wheel|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=spinal-flexion|angle=flat|contraction=dynamic|range=full,supine,ab-wheel,spinal-flexion,bilateral,flat,isolation,rectus-abdominis
free-exercise-db,Advanced_Kettlebell_Windmill,Advanced Kettlebell Windmill,OMEN-0.2-ERPYUQXRJW7Z4,kettlebell spinal-flexion,posture=supine|implement=kettlebell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=spinal-flexion|angle=flat|contraction=dynamic|range=full,supine,kettlebell,spinal-flexion,bilateral,flat,isolation,rectus-abdominis
free-exercise-db,Air_Bike,Air Bike,OMEN-0.2-NEBO6LLZQU252,spinal-flexion,posture=supine|implement=bodyweight|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=spinal-flexion|angle=flat|contraction=dynamic|range=full,supine,bodyweight,spinal-flexion,bilateral,flat,isolation,rectus-abdominis
free-exercise-db,Alternate_Hammer_Curl,Alternate Hammer Curl,OMEN-0.2-GAW7LWBFYPEUO,dumbbell neutral alternating elbow-flexion,posture=standing|implement=dumbbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=alternating|pattern=elbow-flexion|angle=flat|contraction=dynamic|range=full,standing,dumbbell,elbow-flexion,alternating,flat,isolation,biceps;brachialis
free-exercise-db,Alternate_Heel_Touchers,Alternate Heel Touchers,OMEN-0.2-TI237YSCPTPHQ,alternating spinal-flexion,posture=supine|implement=bodyweight|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=alternating|pattern=spinal-flexion|angle=flat|contraction=dynamic|range=full,supine,bodyweight,spinal-flexion,alternating,flat,isolation,rectus-abdominis
free-exercise-db,Alternate_Incline_Dumbbell_Curl,Alternate Incline Dumbbell Curl,OMEN-0.2-BEHGJ2LENSQ3M,incline dumbbell alternating elbow-flexion,posture=standing|implement=dumbbell|attachment=none|grip_orientation=supinated|grip_width=standard|laterality=alternating|pattern=elbow-flexion|angle=incline|contraction=dynamic|range=full,standing,dumbbell,elbow-flexion,alternating,incline,isolation,biceps;brachialis
free-exercise-db,Alternating_Cable_Shoulder_Press,Alternating Cable Shoulder Press,OMEN-0.2-YQAXH36I55JJI,cable alternating vertical-push,posture=standing|implement=cable|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=alternating|pattern=vertical-push|angle=flat|contraction=dynamic|range=full,standing,cable,vertical-push,alternating,flat,compound,anterior-deltoid;triceps;upper-pectoralis
free-exercise-db,Alternating_Deltoid_Raise,Alternating Deltoid Raise,OMEN-0.2-YOQPJBRSGRBTU,dumbbell alternating shoulder-abduction,posture=standing|implement=dumbbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=alternating|pattern=shoulder-abduction|angle=flat|contraction=dynamic|range=full,standing,dumbbell,shoulder-abduction,alternating,flat,isolation,lateral-deltoid
