item_id,exercise_name,posture,implement,pattern,laterality,angle,grip_orientation
M01,Barbell Bench Press - Medium Grip,,,,,,
M02,Barbell Squat,,,,,,
M03,Barbell Deadlift,,,,,,
M04,Pullups,,,,,,
M05,Chin-Up,,,,,,
M06,Dumbbell Bicep Curl,,,,,,
M07,Standing Military Press,,,,,,
M08,Barbell Shrug,,,,,,
M09,Dumbbell Flyes,,,,,,
M10,Triceps Pushdown,,,,,,
M11,Seated Cable Rows,,,,,,
M12,Front Dumbbell Raise,,,,,,
M13,Side Lateral Raise,,,,,,
M14,Leg Press,,,,,,
M15,Lying Leg Curls,,,,,,
M16,Leg Extensions,,,,,,
M17,Standing Calf Raises,,,,,,
M18,Plank,,,,,,
M19,Hanging Leg Raise,,,,,,
M20,Russian Twist,,,,,,
M21,Romanian Deadlift,,,,,,
M22,Face Pull,,,,,,
M23,Bent Over Barbell Row,,,,,,
M24,Incline Dumbbell Press,,,,,,
M25,Cable Crossover,,,,,,
M26,Good Morning,,,,,,
M27,Upright Barbell Row,,,,,,
M28,Bent-Arm Dumbbell Pullover,,,,,,
M29,3/4 Sit-Up,,,,,,
M30,Ab Crunch Machine,,,,,,
